,name,accept,level
1167,Running Sum of 1d Array    ,89.8%,Easy
1164,Subrectangle Queries    ,89.2%,Medium
1159,Shuffle the Array    ,88.6%,Easy
1127,Kids With the Greatest Number of Candies    ,88.6%,Easy
1191,Number of Good Pairs    ,88.2%,Easy
905,Defanging an IP Address    ,88.0%,Easy
607,Jewels and Stones    ,86.6%,Easy
1267,Maximum Nesting Depth of the Parentheses    ,86.0%,Easy
1054,Number of Steps to Reduce a Number to Zero    ,86.0%,Easy
1203,Shuffle String    ,85.8%,Easy
1074,How Many Numbers Are Smaller Than the Current Number    ,85.7%,Easy
1002,Subtract the Product and Sum of Digits of an Integer    ,85.4%,Easy
1030,Decompress Run-Length Encoded List    ,85.1%,Easy
1095,Create Target Array in the Given Order    ,84.5%,Easy
1171,XOR Operation in an Array    ,84.2%,Easy
1003,Group the People Given the Group Size They Belong To    ,84.0%,Medium
639,Max Increase to Keep City Skyline    ,83.9%,Medium
1086,Find a Corresponding Node of a Binary Tree in a Clone of That Tree    ,83.8%,Medium
1021,Deepest Leaves Sum    ,83.7%,Medium
968,Split a String in Balanced Strings    ,83.7%,Easy
1032,Sum of Nodes with Even-Valued Grandparent    ,83.6%,Medium
1259,Design Parking System    ,83.6%,Easy
1100,Count Number of Teams    ,82.1%,Medium
770,Range Sum of BST    ,81.9%,Easy
870,Binary Search Tree to Greater Sum Tree    ,81.5%,Medium
945,Reformat Department Table    ,81.4%,Easy
1247,Sum of All Odd Length Subarrays    ,81.4%,Easy
1112,Queries on a Permutation With Key    ,81.3%,Medium
1010,Convert Binary Number in a Linked List to Integer    ,80.8%,Easy
1014,Find Numbers with Even Number of Digits    ,80.4%,Easy
512,Maximum Binary Tree    ,80.4%,Medium
438,Encode and Decode TinyURL    ,80.2%,Medium
1207,Count Good Triplets    ,79.9%,Easy
558,To Lower Case    ,79.7%,Easy
994,Minimum Time Visiting All Points    ,79.4%,Easy
1228,Maximum Number of Coins You Can Get    ,79.4%,Medium
1043,Sort the Matrix Diagonally    ,78.9%,Medium
1235,Matrix Diagonal Sum    ,78.9%,Easy
840,Construct Binary Search Tree from Preorder Traversal    ,78.6%,Medium
853,Remove Outermost Parentheses    ,78.4%,Easy
986,Cells with Odd Values in a Matrix    ,78.3%,Easy
630,All Paths From Source to Target    ,78.1%,Medium
1038,Maximum 69 Number    ,77.9%,Easy
475,Big Countries    ,77.8%,Easy
1023,All Elements in Two Binary Search Trees    ,77.7%,Medium
1220,Minimum Operations to Make Array Equal    ,77.6%,Medium
599,Partition Labels    ,77.5%,Medium
636,Unique Morse Code Words    ,77.4%,Easy
1143,Number of Students Doing Homework at a Given Time    ,77.4%,Easy
1155,Maximum Product of Two Elements in an Array    ,77.4%,Easy
1026,Decrypt String from Alphabet to Integer Mapping    ,77.2%,Easy
1131,Destination City    ,77.2%,Easy
812,Unique Paths III    ,76.9%,Hard
664,Flipping an Image    ,76.6%,Easy
1022,Find N Unique Integers Sum up to Zero    ,76.4%,Easy
1062,Count Negative Numbers in a Sorted Matrix    ,76.3%,Easy
1078,Increasing Decreasing String    ,76.2%,Easy
552,Insert into a Binary Search Tree    ,76.2%,Medium
1088,Design a Stack With Increment Operation    ,76.1%,Medium
491,Swap Salary    ,76.1%,Easy
1082,Generate a String With Characters That Have Odd Counts    ,76.1%,Easy
726,All Possible Full Binary Trees    ,75.8%,Medium
1261,Find Valid Matrix Given Row and Column Sums    ,75.7%,Medium
890,Letter Tile Possibilities    ,75.5%,Medium
1089,Balance a Binary Search Tree    ,75.5%,Medium
1059,Minimum Number of Steps to Make Two Strings Anagram    ,75.3%,Medium
1163,Final Prices With a Special Discount in a Shop    ,75.1%,Easy
737,Sort Array By Parity    ,74.9%,Easy
782,Reveal Cards In Increasing Order    ,74.9%,Medium
1018,Replace Elements with Greatest Element on Right Side    ,74.8%,Easy
573,Self Dividing Numbers    ,74.8%,Easy
485,Merge Two Binary Trees    ,74.6%,Easy
991,Find Elements in a Contaminated Binary Tree    ,74.4%,Medium
753,Minimum Add to Make Parentheses Valid    ,74.3%,Medium
793,N-Repeated Element in Size 2N Array    ,74.0%,Easy
722,Find and Replace Pattern    ,73.9%,Medium
646,Binary Tree Pruning    ,73.7%,Medium
1031,Matrix Block Sum    ,73.7%,Medium
1224,Minimum Number of Vertices to Reach All Nodes    ,73.6%,Medium
1040,Delete Leaves With a Given Value    ,73.3%,Medium
514,Robot Return to Origin    ,73.3%,Easy
551,Search in a Binary Search Tree    ,73.3%,Easy
1000,Count Square Submatrices with All Ones    ,73.1%,Medium
774,DI String Match    ,73.0%,Easy
380,Hamming Distance    ,73.0%,Easy
693,Score After Flipping Matrix    ,72.9%,Medium
1151,Make Two Arrays Equal by Reversing Sub-arrays    ,72.8%,Easy
470,N-ary Tree Postorder Traversal    ,72.6%,Easy
469,N-ary Tree Preorder Traversal    ,72.6%,Easy
902,Path In Zigzag Labelled Binary Tree    ,72.4%,Medium
765,Number of Recent Calls    ,72.3%,Easy
457,Array Partition I    ,72.3%,Easy
1106,Reducing Dishes    ,72.3%,Hard
809,Squares of a Sorted Array    ,72.2%,Easy
935,Maximum Level Sum of a Binary Tree    ,72.1%,Medium
908,Maximum Nesting Depth of Two Valid Parentheses Strings    ,72.0%,Medium
729,Increasing Order Search Tree    ,72.0%,Easy
1183,Can Make Arithmetic Progression From Sequence    ,71.9%,Easy
960,Unique Number of Occurrences    ,71.8%,Easy
684,Peak Index in a Mountain Array    ,71.8%,Easy
881,Height Checker    ,71.6%,Easy
1107,Minimum Subsequence in Non-Increasing Order    ,71.5%,Easy
1087,Lucky Numbers in a Matrix    ,71.3%,Easy
854,Sum of Root To Leaf Binary Numbers    ,71.1%,Easy
1006,Iterator for Combination    ,70.8%,Medium
453,Reverse Words in a String III    ,70.7%,Easy
1093,Sort Integers by The Power Value    ,70.7%,Medium
1204,Bulb Switcher IV    ,70.7%,Medium
345,Battleships in a Board    ,70.5%,Medium
643,Subdomain Visit Count    ,70.4%,Easy
776,Delete Columns to Make Sorted    ,70.4%,Easy
1136,Count Triplets That Can Form Two Arrays of Equal XOR    ,70.2%,Medium
1117,The k-th Lexicographical String of All Happy Strings of Length n    ,70.1%,Medium
1141,Count Good Nodes in Binary Tree    ,70.1%,Medium
860,Recover a Tree From Preorder Traversal    ,70.1%,Hard
284,Counting Bits    ,69.9%,Medium
978,Find Positive Integer Solution for a Given Equation    ,69.8%,Easy
754,Sort Array By Parity II    ,69.8%,Easy
1005,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix    ,69.7%,Hard
1135,Build an Array With Stack Operations    ,69.6%,Easy
717,Spiral Matrix III    ,69.6%,Medium
1050,The K Weakest Rows in a Matrix    ,69.5%,Easy
878,Remove All Adjacent Duplicates In String    ,69.5%,Easy
989,Maximum Score Words Formed by Letters    ,69.3%,Hard
1066,Sort Integers by The Number of 1 Bits    ,69.3%,Easy
954,Fizz Buzz Multithreaded    ,69.2%,Medium
288,Reverse String    ,69.2%,Easy
1175,Average Salary Excluding the Minimum and Maximum Salary    ,69.1%,Easy
811,Distribute Coins in Binary Tree    ,69.1%,Medium
969,Queens That Can Attack the King    ,69.0%,Medium
455,Maximum Depth of N-ary Tree    ,69.0%,Easy
1027,XOR Queries of a Subarray    ,68.9%,Medium
708,Middle of the Linked List    ,68.7%,Easy
486,Not Boring Movies    ,68.3%,Easy
801,Pancake Sorting    ,68.3%,Medium
362,Find All Duplicates in an Array    ,68.2%,Medium
439,Complex Number Multiplication    ,68.0%,Medium
1201,Number of Good Ways to Split a String    ,67.9%,Medium
913,Relative Sort Array    ,67.8%,Easy
834,Find Common Characters    ,67.8%,Easy
715,Projection Area of 3D Shapes    ,67.8%,Easy
1149,Pseudo-Palindromic Paths in a Binary Tree    ,67.8%,Medium
725,Groups of Special-Equivalent Strings    ,67.7%,Easy
818,Interval List Intersections    ,67.7%,Medium
797,Univalued Binary Tree    ,67.6%,Easy
934,Find Words That Can Be Formed by Characters    ,67.4%,Easy
907,Delete Nodes And Return Forest    ,67.4%,Medium
653,Shortest Distance to a Character    ,67.3%,Easy
761,Unique Email Addresses    ,67.3%,Easy
335,Queue Reconstruction by Height    ,67.3%,Medium
419,Fibonacci Number    ,67.2%,Easy
1129,Check If a String Can Break Another String    ,67.1%,Medium
919,Minimum Cost Tree From Leaf Values    ,67.1%,Medium
1120,Display Table of Food Orders in a Restaurant    ,67.1%,Medium
1161,Design Browser History    ,67.0%,Medium
1051,Reduce Array Size to The Half    ,66.9%,Medium
914,Lowest Common Ancestor of Deepest Leaves    ,66.9%,Medium
862,Matrix Cells in Distance Order    ,66.8%,Easy
955,Minimum Absolute Difference    ,66.7%,Easy
1091,Find the Distance Value Between Two Arrays    ,66.7%,Easy
831,Available Captures for Rook    ,66.7%,Easy
1101,Design Underground System    ,66.7%,Medium
103,Maximum Depth of Binary Tree    ,66.6%,Easy
791,Regions Cut By Slashes    ,66.6%,Medium
721,Construct Binary Tree from Preorder and Postorder Traversal    ,66.6%,Medium
858,Maximum Difference Between Node and Ancestor    ,66.4%,Medium
1219,Three Consecutive Odds    ,66.4%,Easy
1067,Apply Discount Every n Orders    ,66.3%,Medium
909,Print in Order    ,66.3%,Easy
1176,The kth Factor of n    ,66.3%,Medium
656,Goat Latin    ,66.1%,Easy
382,Island Perimeter    ,66.1%,Easy
857,Divisor Game    ,66.0%,Easy
875,Partition Array for Maximum Sum    ,66.0%,Medium
1154,Cherry Pickup II    ,66.0%,Hard
740,Smallest Range I    ,66.0%,Easy
135,Single Number    ,65.9%,Easy
624,Custom Sort String    ,65.8%,Medium
709,Stone Game    ,65.8%,Medium
217,Invert Binary Tree    ,65.7%,Easy
351,N-ary Tree Level Order Traversal    ,65.6%,Medium
783,Flip Equivalent Binary Trees    ,65.4%,Medium
617,Letter Case Permutation    ,65.4%,Medium
602,Toeplitz Matrix    ,65.4%,Easy
966,Path with Maximum Gold    ,65.3%,Medium
1147,Check If a Word Occurs As a Prefix of Any Word in a Sentence    ,65.3%,Easy
979,Circular Permutation in Binary Representation    ,65.1%,Medium
411,Keyboard Row    ,65.1%,Easy
1103,Count Largest Group    ,65.1%,Easy
1115,Minimum Value to Get Positive Step by Step Sum    ,65.1%,Easy
638,Number of Lines To Write String    ,65.1%,Easy
392,Number Complement    ,65.0%,Easy
964,Minimum Cost to Move Chips to The Same Position    ,65.0%,Easy
228,Delete Node in a Linked List    ,65.0%,Easy
236,Single Number III    ,64.8%,Medium
1122,Build Array Where You Can Find The Maximum Exactly K Comparisons    ,64.8%,Hard
673,Keys and Rooms    ,64.8%,Medium
889,Occurrences After Bigram    ,64.7%,Easy
45,Permutations    ,64.7%,Medium
535,Baseball Game    ,64.7%,Easy
924,Stone Game II    ,64.6%,Medium
1255,Crawler Log Folder    ,64.6%,Easy
408,Next Greater Element I    ,64.5%,Easy
704,Leaf-Similar Trees    ,64.5%,Easy
996,Search Suggestions System    ,64.3%,Medium
555,Design HashSet    ,64.3%,Easy
93,Binary Tree Inorder Traversal    ,64.3%,Medium
1243,Special Positions in a Binary Matrix    ,64.3%,Easy
744,Sort an Array    ,64.1%,Medium
805,K Closest Points to Origin    ,64.1%,Medium
1055,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold    ,64.1%,Medium
1188,Range Sum of Sorted Subarray Sums    ,64.0%,Medium
582,Daily Temperatures    ,63.9%,Medium
498,Average of Levels in Binary Tree    ,63.7%,Easy
21,Generate Parentheses    ,63.7%,Medium
716,Uncommon Words from Two Sentences    ,63.6%,Easy
1099,Find Lucky Integer in an Array    ,63.6%,Easy
901,Distribute Candies to People    ,63.6%,Easy
1116,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K    ,63.6%,Medium
598,Prime Number of Set Bits in Binary Representation    ,63.6%,Easy
197,Reverse Linked List    ,63.6%,Easy
490,Exchange Seats    ,63.5%,Medium
370,Sort Characters By Frequency    ,63.5%,Medium
1083,Bulb Switcher III    ,63.5%,Medium
291,Intersection of Two Arrays    ,63.4%,Easy
546,Max Area of Island    ,63.4%,Medium
951,Reverse Substrings Between Each Pair of Parentheses    ,63.4%,Medium
830,Maximum Binary Tree II    ,63.4%,Medium
947,Day of the Week    ,63.3%,Easy
339,Fizz Buzz    ,63.3%,Easy
1035,Minimum Flips to Make a OR b Equal to c    ,63.2%,Medium
1263,Special Array With X Elements Greater Than or Equal X    ,63.2%,Easy
523,Trim a Binary Search Tree    ,63.1%,Easy
984,Minimum Remove to Make Valid Parentheses    ,63.1%,Medium
77,Subsets    ,63.1%,Medium
174,Duplicate Emails    ,63.0%,Easy
763,Minimum Falling Path Sum    ,62.9%,Medium
778,Validate Stack Sequences    ,62.9%,Medium
1037,Minimum Distance to Type a Word Using Two Fingers    ,62.7%,Hard
1111,String Matching in an Array    ,62.6%,Easy
815,Minimum Cost For Tickets    ,62.5%,Medium
699,Transpose Matrix    ,62.5%,Easy
1046,Remove Palindromic Subsequences    ,62.4%,Easy
1132,Check If All 1's Are at Least Length K Places Away    ,62.4%,Medium
900,Brace Expansion II    ,62.2%,Hard
1195,Water Bottles    ,62.2%,Easy
877,Last Stone Weight    ,62.2%,Easy
667,Image Overlap    ,62.1%,Medium
982,Minimum Swaps to Make Strings Equal    ,62.1%,Medium
167,Combine Two Tables    ,62.0%,Easy
556,Design HashMap    ,61.9%,Easy
1185,Count Submatrices With All Ones    ,61.9%,Medium
420,Find Bottom Left Tree Value    ,61.9%,Medium
350,Construct Quad Tree    ,61.8%,Medium
1225,Minimum Numbers of Function Calls to Make Target Array    ,61.8%,Medium
950,Maximum Number of Balloons    ,61.8%,Easy
290,Top K Frequent Elements    ,61.7%,Medium
727,Maximum Frequency Stack    ,61.7%,Hard
841,Complement of Base 10 Integer    ,61.7%,Easy
1157,Reorder Routes to Make All Paths Lead to the City Zero    ,61.7%,Medium
1140,Simplified Fractions    ,61.6%,Medium
973,Airplane Seat Assignment Probability    ,61.6%,Medium
1079,Find the Longest Substring Containing Vowels in Even Counts    ,61.6%,Medium
688,Score of Parentheses    ,61.6%,Medium
1009,Minimum Falling Path Sum II    ,61.6%,Hard
990,Shift 2D Grid    ,61.5%,Easy
422,Find Largest Value in Each Tree Row    ,61.5%,Medium
1158,Probability of a Two Boxes Having The Same Number of Distinct Balls    ,61.5%,Hard
464,Distribute Candies    ,61.5%,Easy
1056,Angle Between Hands of a Clock    ,61.3%,Medium
886,Flip Columns For Maximum Number of Equal Rows    ,61.2%,Medium
506,Palindromic Substrings    ,61.2%,Medium
1114,Number of Ways to Paint N Ã— 3 Grid    ,61.1%,Hard
988,Number of Closed Islands    ,61.1%,Medium
221,Kth Smallest Element in a BST    ,61.1%,Medium
697,Smallest Subtree with all the Deepest Nodes    ,61.1%,Medium
1104,Construct K Palindrome Strings    ,61.1%,Medium
817,Sum of Even Numbers After Queries    ,61.0%,Easy
577,My Calendar III    ,60.7%,Hard
700,Binary Gap    ,60.7%,Easy
461,Reshape the Matrix    ,60.7%,Easy
733,Online Stock Span    ,60.6%,Medium
229,Product of Array Except Self    ,60.6%,Medium
888,Number of Submatrices That Sum to Target    ,60.5%,Hard
975,Remove Sub-Folders from the Filesystem    ,60.5%,Medium
1024,Jump Game III    ,60.5%,Medium
483,Find Duplicate File in System    ,60.4%,Medium
1134,Find the Kth Smallest Sum of a Matrix With Sorted Rows    ,60.2%,Hard
1007,Element Appearing More Than 25% In Sorted Array    ,60.2%,Easy
1187,Reformat Date    ,60.2%,Easy
1241,Minimum Deletion Cost to Avoid Repeating Letters    ,60.2%,Medium
1139,Consecutive Characters    ,60.1%,Easy
1001,Palindrome Partitioning III    ,60.0%,Hard
1068,Number of Substrings Containing All Three Characters    ,60.0%,Medium
608,Sliding Puzzle    ,59.9%,Hard
435,Minesweeper    ,59.8%,Medium
836,Max Consecutive Ones III    ,59.7%,Medium
848,Binary String With Substrings Representing 1 To N    ,59.7%,Medium
545,Binary Number with Alternating Bits    ,59.5%,Easy
1017,Maximum Candies You Can Get from Boxes    ,59.5%,Hard
162,Majority Element    ,59.3%,Easy
1202,Minimum Number of Increments on Subarrays to Form a Target Array    ,59.3%,Hard
764,Beautiful Array    ,59.3%,Medium
1223,Thousand Separator    ,59.2%,Easy
447,Friend Circles    ,59.2%,Medium
939,Compare Strings by Frequency of the Smallest Character    ,59.2%,Easy
849,Convert to Base -2    ,59.1%,Medium
207,Combination Sum III    ,59.1%,Medium
724,Surface Area of 3D Shapes    ,59.1%,Easy
843,Capacity To Ship Packages Within D Days    ,59.1%,Medium
894,Largest Values From Labels    ,59.1%,Medium
898,Car Pooling    ,59.0%,Medium
1039,Print Words Vertically    ,59.0%,Medium
929,Longest Chunked Palindrome Decomposition    ,59.0%,Hard
904,Parsing A Boolean Expression    ,58.9%,Hard
107,Convert Sorted Array to Binary Search Tree    ,58.9%,Easy
1177,Longest Subarray of 1's After Deleting One Element    ,58.8%,Medium
560,Minimum ASCII Delete Sum for Two Strings    ,58.8%,Medium
910,Print FooBar Alternately    ,58.8%,Medium
433,Beautiful Arrangement    ,58.8%,Medium
51,N-Queens II    ,58.7%,Hard
1238,Count All Possible Routes    ,58.7%,Hard
644,Largest Triangle Area    ,58.5%,Easy
863,Maximum Sum of Two Non-Overlapping Subarrays    ,58.5%,Medium
720,Fair Candy Swap    ,58.5%,Easy
1029,Minimum Insertion Steps to Make a String Palindrome    ,58.5%,Hard
808,Largest Perimeter Triangle    ,58.4%,Easy
1160,The k Strongest Values in an Array    ,58.4%,Medium
749,Reverse Only Letters    ,58.4%,Easy
418,Most Frequent Subtree Sum    ,58.4%,Medium
925,Longest Common Subsequence    ,58.4%,Medium
852,Number of Enclaves    ,58.3%,Medium
340,Arithmetic Slices    ,58.2%,Medium
1053,Jump Game V    ,58.2%,Hard
851,Next Greater Node In Linked List    ,58.2%,Medium
428,Longest Uncommon Subsequence I    ,58.2%,Easy
1049,Minimum Difficulty of a Job Schedule    ,58.1%,Hard
536,Redundant Connection    ,58.1%,Medium
247,Move Zeroes    ,58.1%,Easy
173,Employees Earning More Than Their Managers    ,58.1%,Easy
728,Monotonic Array    ,58.0%,Easy
1270,Count Subtrees With Max Distance Between Cities    ,58.0%,Hard
1257,Throne Inheritance    ,58.0%,Medium
47,Rotate Image    ,58.0%,Medium
235,Add Digits    ,58.0%,Easy
903,Filling Bookcase Shelves    ,57.9%,Medium
1069,Count All Valid Pickup and Delivery Options    ,57.9%,Hard
442,Single Element in a Sorted Array    ,57.9%,Medium
48,Group Anagrams    ,57.8%,Medium
751,Complete Binary Tree Inserter    ,57.8%,Medium
542,Employee Importance    ,57.7%,Easy
622,Escape The Ghosts    ,57.7%,Medium
165,Binary Search Tree Iterator    ,57.7%,Medium
38,Combination Sum    ,57.7%,Medium
121,Best Time to Buy and Sell Stock II    ,57.6%,Easy
995,Count Servers that Communicate    ,57.6%,Medium
1045,Rank Transform of an Array    ,57.6%,Easy
959,Design Skiplist    ,57.6%,Hard
1144,Rearrange Words in a Sentence    ,57.6%,Medium
1011,Sequential Digits    ,57.5%,Medium
972,The Dining Philosophers    ,57.4%,Medium
1008,Remove Covered Intervals    ,57.4%,Medium
233,Valid Anagram    ,57.4%,Easy
318,Find the Difference    ,57.3%,Easy
621,Rotated Digits    ,57.3%,Easy
507,Replace Words    ,57.3%,Medium
649,Linked List Components    ,57.3%,Medium
855,Camelcase Matching    ,57.2%,Medium
1216,Find Kth Bit in Nth Binary String    ,57.2%,Medium
414,Next Greater Element II    ,57.2%,Medium
962,Remove All Adjacent Duplicates in String II    ,57.2%,Medium
1072,Closest Divisors    ,57.1%,Medium
450,Optimal Division    ,57.1%,Medium
590,Shortest Completing Word    ,57.0%,Easy
911,Print Zero Even Odd    ,56.9%,Medium
547,Count Binary Substrings    ,56.8%,Easy
1047,"Filter Restaurants by Vegan-Friendly, Price and Distance    ",56.8%,Medium
1034,Convert Integer to the Sum of Two No-Zero Integers    ,56.8%,Easy
327,Random Pick Index    ,56.7%,Medium
1227,Most Visited Sector in a Circular Track    ,56.7%,Easy
861,Two City Scheduling    ,56.6%,Medium
1110,Stone Game III    ,56.6%,Hard
983,Count Number of Nice Subarrays    ,56.5%,Medium
163,Excel Sheet Column Number    ,56.4%,Easy
143,Binary Tree Preorder Traversal    ,56.4%,Medium
695,All Nodes Distance K in Binary Tree    ,56.4%,Medium
206,Kth Largest Element in an Array    ,56.3%,Medium
275,Odd Even Linked List    ,56.3%,Medium
249,Find the Duplicate Number    ,56.3%,Medium
208,Contains Duplicate    ,56.3%,Easy
867,Uncrossed Lines    ,56.1%,Medium
12,Roman to Integer    ,56.1%,Easy
407,Teemo Attacking    ,56.0%,Medium
232,Different Ways to Add Parentheses    ,56.0%,Medium
985,Check If It Is a Good Array    ,56.0%,Hard
367,Find All Numbers Disappeared in an Array    ,56.0%,Easy
144,Binary Tree Postorder Traversal    ,55.9%,Medium
1084,Time Needed to Inform All Employees    ,55.9%,Medium
352,Flatten a Multilevel Doubly Linked List    ,55.9%,Medium
1123,Maximum Score After Splitting a String    ,55.9%,Easy
1179,Path Crossing    ,55.9%,Easy
1119,Reformat The String    ,55.8%,Easy
511,Two Sum IV - Input is a BST    ,55.8%,Easy
